id;terme;definition;synonymes;source;commentaires;AVIS experts;Colonne1
acharnement;Acharnement thérapeutique;"Terme souvent employé dans le langage courant et les directives anticipées pour désigner des soins estimés excessifs. À éviter, lorsque l’on rédige ses directives anticipées, car il est vague et ne permet pas de guider les décisions liées aux soins.";;;;terme confusionant;
alimentation;Alimentation artificielle;"Une alimentation artificielle est nécessaire lorsqu’un patient ne peut pas s’alimenter normalement. Les causes sont nombreuses&nbsp;: problème de mastication ou déglutition, perte d’appétit, douleur, humeur dépressive, maladies neurodégénératives ou vasculaires, troubles psychiatriques… Les conséquences d’une mauvaise alimentation peuvent péjorer l’état de santé d’un patient et certains symptômes. Il existe plusieurs types d'alimentation artificielle (plus ou moins invasives)&nbsp;: compléments nutritionnels, sonde insérée dans l'estomac (par le nez ou l'abdomen) ou perfusion veineuse. Les objectifs de la nutrition artificielle peuvent être discutés avec les soignants et documentés dans les <glossary link=da>directives anticipées</glossary>.";;;;;
discernement;Capacité de discernement;"Capacité d'une personne à comprendre une situation, les choix qui s'offrent à elle et leurs conséquences ainsi qu'à finalement prendre une décision cohérente avec ses valeurs et préférences. Cette capacité peut être jugée présente ou absente (ex&nbsp;: coma). L'évaluation de la capacité de discernement doit toujours être ajustée à la situation particulière (pour un choix qui s'offre au patient, à un moment donné).";;"OFSP, 2018 https://www.bundespublikationen.admin.ch/cshop_mimes_bbl/48/48DF3714B1101EE980D4674912056C80.pdf";;;
detresse-resp;Détresse respiratoire;"Ce terme désigne des difficultés à respirer, observées ou rapportées par le patient. Les signes extérieurs peuvent être&nbsp;: une respiration superficielle et rapide ou une respiration très profonde. Les causes de la détresse respiratoire peuvent être aiguës (asthme, arrêt cardiaque, infections, embolies…) ou chroniques (insuffisances pulmonaires, cancers, maladies neurologiques ou métaboliques…). Il existe plusieurs manières de prendre en charge un patient souffrant de détresse respiratoire (notamment la <glossary link=ventilation>ventilation assistée</glossary>). Il est fortement recommandé aux patients à risque d'en parler avec les spécialistes, afin de s'accorder sur les mesures à adopter.";;;;;
dialyse;Dialyse;"La dialyse est utilisée en cas d'insuffisance rénale afin de filtrer le sang. Une insuffisance rénale peut engendrer des symptômes graves et, dans un cas aigu, le patient peut décéder en quelques heures ou jours, s'il n'est pas traité. La dialyse est une intervention qui se fait à l'hôpital à l'aide de machines.";;;;;
da;Directives anticipées;Les directives anticipées (DA) sont un document écrit, à valeur légale, dans lequel le patient exprime ses préférences et ses valeurs de vie pour une prise en charge médicale future, dans le cas où il se trouverait dans l'incapacité de les exprimer (perte de <glossary link=discernement>capacité de discernement</glossary>). Dans les DA, le patient désigne ses <glossary link=representant>représentants thérapeutiques</glossary> et explicite ce qui est important pour lui, ainsi que les mesures médicales auxquelles il consent ou non. En principe, les DA sont discutés dans le cadre d'un <glossary link=psa>plan de soins anticipé</glossary> : elles découlent d'une discussion entre le patient, les soignants et ses proches.;Advanced directives;"OFSP, 2018 https://www.bundespublikationen.admin.ch/cshop_mimes_bbl/48/48DF3714B1101EE980D4674912056C80.pdf";;Orienter psy! Neuroleptique;
imu;Instructions Médicales d'Urgences;"Les IMU sont utiles pour la prise en charge en urgence. Les médecins en déterminent le contenu en fonction de l'état du patient, de ses volontés exprimées dans les <glossary link=da>directives anticipées</glossary> ou directement aux soignants (lors de discussion autour des <glossary link=psa>soins anticipés</glossary>).";Instructions Médicales pour les cas d'urgence;"OFSP, 2018 https://www.bundespublikationen.admin.ch/cshop_mimes_bbl/48/48DF3714B1101EE980D4674912056C80.pdf";;;
lieu-fin;Lieu de fin de vie;"Les options en matière de lieux de fin de vie dépendent de vos besoins et objectifs de soins dans cette phase. A priori, des soins de fin de vie peuvent vous être proposés dans tous les lieux suivants&nbsp;:<ol><li>À la maison</li><li>Dans un établissement médico-social (EMS) médicalisé ou non</li><li>À l’hôpital</li></ol>";;;;;
lat;Limitations et arrêts thérapeutiques;"Décisions de ne pas débuter (limitations) et décisions d'interrompre (arrêts) un ou plusieurs traitements. La mort peut survenir si ces traitements maintiennent artificiellement en vie (ex&nbsp;: <glossary link=ventilation>ventilation assistée</glossary>)";Limitations et arrêts de traitement;;;;
mandat;Mandat pour cause d'inaptitude;"Il s'agit d'un document écrit, établi en présence d'un notaire, dans lequel on confie à une ou plusieurs personnes de confiance, des tâches spécifiques pour le cas où l'on deviendrait incapable de discernement (et donc incapable d’exercer les droits civils). Ces tâches peuvent être de nature financière (p.ex. régler les factures quotidiennes, son patrimoine), administrative (p.ex. remplir les feuilles d'impôt) ou juridique. Par ailleurs, dans ce document, on peut aussi nommer son représentant thérapeutique. Il est donc important de désigner le même représentant thérapeutique dans le mandat pour cause d'inaptitude et dans les directives anticipées.";;"https://www.proinfirmis.ch/fr/guide-juridique/protection-de-ladulte/mandat-pour-cause-dinaptitude-et-directives-anticipees-du-patient.html et https://www.ch.ch/fr/mandat-cause-d-inaptitude/";;;
